Modelo,Valor,Local
iPhone 11 64gb,R$ 2.050,Fortaleza Vila Velha
Iphone 6S PLus 128 Rose,R$ 700,Fortaleza Centro
iPhone 14 pro 128gb roxo COM CHIP FÍSICO ,R$ 5.700,Fortaleza Engenheiro Luciano Cavalcante
Iphone 12 Mini 64GB Branco,R$ 2.350,Fortaleza Fátima
Troco iPhone SE 2020 64G,R$ 1.400,Fortaleza Jardim das Oliveiras
iPhone 11 64 Gb,R$ 2.400,Maracanaú Centro
iPhone XS Max ,R$ 2.200,Fortaleza Bom Jardim
Vendo iPhone XR branco ,R$ 1.700,Pacatuba Senador Carlos Jereissati
iPhone XR,R$ 1.500,Eusébio Precabura
iPhone 11 Pro Max 64gb,R$ 2.500,Eusébio Lagoinha
iPhone 8,R$ 1.000,Caucaia Parque das Nações (Jurema)
iPhone 6 64gigas,R$ 600,Fortaleza Pedras
Vendo iPhone 6s 32GB cabo e fonte do carregador e capa.,R$ 650,Fortaleza Meireles
Iphone 11 64g Extra,R$ 2.640,Fortaleza Passaré
iPhone 12,R$ 3.000,Fortaleza Barra do Ceará
iPhone 6s ( PREÇO NEGOCIÁVEL ),R$ 400,Fortaleza Floresta
iPhone XS Max 64gb,R$ 1.600,Fortaleza Montese
iPhone XR para exigentes - impecável -,R$ 1.850,Fortaleza Engenheiro Luciano Cavalcante
iPhone XS Max ,R$ 2.100,Fortaleza Jangurussu
iPhone 7 normal ,R$ 700,Fortaleza Centro
iPhone X 256GB (todo novo},R$ 1.350,Maracanaú Jereissati I
IPHONE 11 64 g ESTADO DE ZERO ?84%,R$ 2.700,Fortaleza Itaperi
iPhone SE 3 geração ,R$ 1.500,Fortaleza Fátima
iPhone Xs Max 256g Estado de zero ,R$ 1.999,Fortaleza Fátima
iPhone 7 Plus 128g dourado ,R$ 1.170,Fortaleza Mondubim
iPhone 8,R$ 950,Fortaleza Siqueira
IPhone 8plus,R$ 1.500,Maranguape Novo Maranguape I
IPhone 13 Pro Max 256gb 7 meses de uso ,R$ 5.800,Fortaleza Jacarecanga
iPhone 11 Pro Max ,R$ 3.800,Fortaleza Planalto Ayrton Senna
iPhone 11 Pro Max 64gb ,R$ 2.900,Maracanaú Novo Oriente
iPhone 12 ,R$ 3.500,Fortaleza João XXIII
iPhone 8 Plus 128gb sem marcas de uso (swap),R$ 1.750,Fortaleza Barra do Ceará
iPhone X 256 gb (Aceito propostas),R$ 1.500,Fortaleza Floresta
Iphone 7 Plus 128 GB,R$ 1.250,Fortaleza Pici
iPhone xr,R$ 1.600,Fortaleza Parque Iracema
iPhone 8 64 GB troco ,R$ 900,Caucaia Nova Metrópole (Jurema)
IPHONE XS MAX ,R$ 2.000,Fortaleza Aldeota
IPhone 11 Pro Max 64 gb muito novo,R$ 2.799,Aquiraz
IPhone 7 Plus ,R$ 1.200,Fortaleza Meireles
Iphone 7 256gb Black ,R$ 1.550,Caucaia Açude
iPhone 11 Pro Max 64gb gold ,R$ 2.900,Fortaleza Cocó
iPhone 12 Pro Max  256g,R$ 4.500,Fortaleza Granja Lisboa
iPhone 11 Pro Max 256gb,R$ 3.049,Fortaleza Messejana
iPhone 12 128 gigas,R$ 3.000,Fortaleza Conjunto Esperança
IPhone X,R$ 1.500,Fortaleza Sapiranga-Coité
Vendo iPhone XR ,R$ 1.450,Fortaleza Genibaú
IPhone 11 256 G,R$ 2.700,Pacatuba Senador Carlos Jereissati
iPhone 12 Pro Max 128gb Impecável garantia 6 meses ,R$ 4.499,Maracanaú Centro
iPhone 12 Pro Max 128gb impecável garantia 6 meses ,R$ 4.599,Maracanaú Centro
iphone 8plus ,R$ 1.600,Fortaleza Engenheiro Luciano Cavalcante
iPhone 8 Plus 256gb,R$ 1.600,Eusébio Centro
Iphone 11 64gb,R$ 2.200,Fortaleza Engenheiro Luciano Cavalcante
iPhone 13 mini Red 128GB,R$ 3.000,Fortaleza Cocó
