Modelo,Valor,Local
iPhone 11 64gb,2050,Fortaleza Vila Velha
Iphone 6S PLus 128 Rose,700,Fortaleza Centro
iPhone 14 pro 128gb roxo COM CHIP FÍSICO ,5700,Fortaleza Engenheiro Luciano Cavalcante
Iphone 12 Mini 64GB Branco,2350,Fortaleza Fátima
Troco iPhone SE 2020 64G,1400,Fortaleza Jardim das Oliveiras
iPhone 11 64 Gb,1800,Maracanaú Centro
iPhone XS Max ,2200,Fortaleza Bom Jardim
Vendo iPhone XR branco ,1700,Pacatuba Senador Carlos Jereissati
iPhone XR,1500,Eusébio Precabura
iPhone 11 Pro Max 64gb,2500,Eusébio Lagoinha
iPhone 8,1000,Caucaia Parque das Nações (Jurema)
iPhone 6 64gigas,600,Fortaleza Pedras
Vendo iPhone 6s 32GB cabo e fonte do carregador e capa.,650,Fortaleza Meireles
Iphone 11 64g Extra,2640,Fortaleza Passaré
iPhone 12,3000,Fortaleza Barra do Ceará
iPhone 6s ( PREÇO NEGOCIÁVEL ),400,Fortaleza Floresta
iPhone XS Max 64gb,1600,Fortaleza Montese
iPhone XR para exigentes - impecável -,1850,Fortaleza Engenheiro Luciano Cavalcante
iPhone XS Max ,2100,Fortaleza Jangurussu
iPhone 7 normal ,700,Fortaleza Centro
iPhone X 256GB (todo novo},1350,Maracanaú Jereissati I
IPHONE 11 64 g ESTADO DE ZERO ?84%,2700,Fortaleza Itaperi
iPhone SE 3 geração ,1500,Fortaleza Fátima
iPhone Xs Max 256g Estado de zero ,1999,Fortaleza Fátima
iPhone 7 Plus 128g dourado ,1170,Fortaleza Mondubim
iPhone 8,950,Fortaleza Siqueira
IPhone 8plus,1500,Maranguape Novo Maranguape I
IPhone 13 Pro Max 256gb 7 meses de uso ,5800,Fortaleza Jacarecanga
iPhone 11 Pro Max ,3800,Fortaleza Planalto Ayrton Senna
iPhone 11 Pro Max 64gb ,2900,Maracanaú Novo Oriente
iPhone 12 ,3500,Fortaleza João XXIII
iPhone 8 Plus 128gb sem marcas de uso (swap),1750,Fortaleza Barra do Ceará
iPhone X 256 gb (Aceito propostas),1500,Fortaleza Floresta
Iphone 7 Plus 128 GB,1250,Fortaleza Pici
iPhone xr,1600,Fortaleza Parque Iracema
iPhone 8 64 GB troco ,900,Caucaia Nova Metrópole (Jurema)
IPHONE XS MAX ,2000,Fortaleza Aldeota
IPhone 11 Pro Max 64 gb muito novo,2799,Aquiraz
IPhone 7 Plus ,1200,Fortaleza Meireles
Iphone 7 256gb Black ,1550,Caucaia Açude
iPhone 11 Pro Max 64gb gold ,2900,Fortaleza Cocó
iPhone 12 Pro Max  256g,4500,Fortaleza Granja Lisboa
iPhone 11 Pro Max 256gb,3049,Fortaleza Messejana
iPhone 12 128 gigas,3000,Fortaleza Conjunto Esperança
IPhone X,1500,Fortaleza Sapiranga-Coité
Vendo iPhone XR ,1450,Fortaleza Genibaú
IPhone 11 256 G,2700,Pacatuba Senador Carlos Jereissati
iPhone 12 Pro Max 128gb Impecável garantia 6 meses ,4499,Maracanaú Centro
iPhone 12 Pro Max 128gb impecável garantia 6 meses ,4599,Maracanaú Centro
iphone 8plus ,1600,Fortaleza Engenheiro Luciano Cavalcante
iPhone 8 Plus 256gb,1600,Eusébio Centro
Iphone 11 64gb,2200,Fortaleza Engenheiro Luciano Cavalcante
iPhone 13 mini Red 128GB,3000,Fortaleza Cocó
