Modelo,Valor,Local,Ano
IPHONE 6S,200.0,AQUIRAZ,2015.0
IPHONE 5S,250.0,FORTALEZA VILA UNIÃO,2013.0
IPHONE 6S,300.0,FORTALEZA BENFICA,2015.0
IPHONE SE1,300.0,FORTALEZA FÁTIMA,2016.0
IPHONE 6,300.0,FORTALEZA VICENTE PINZON,2014.0
IPHONE 5S,350.0,FORTALEZA GRANJA LISBOA,2013.0
IPHONE 6S,350.0,FORTALEZA PAUPINA,2015.0
IPHONE 6,350.0,FORTALEZA BARROSO,2014.0
IPHONE SE1,350.0,CAUCAIA PLANALTO CAUCAIA,2016.0
IPHONE 6S,350.0,FORTALEZA PAUPINA,2015.0
IPHONE 6,350.0,FORTALEZA SIQUEIRA,2014.0
IPHONE 7,380.0,FORTALEZA PASSARÉ,2016.0
IPHONE 6S PLUS,400.0,FORTALEZA JARDIM DAS OLIVEIRAS,2015.0
IPHONE 7,400.0,FORTALEZA BARROSO,2016.0
IPHONE 6,400.0,FORTALEZA SAPIRANGA-COITÉ,2014.0
IPHONE 6S PLUS,400.0,PACATUBA SENADOR CARLOS JEREISSATI,2015.0
IPHONE 6S,400.0,FORTALEZA FLORESTA,2015.0
IPHONE 7,400.0,FORTALEZA CRISTO REDENTOR,2016.0
IPHONE 6S,430.0,FORTALEZA JÓQUEI CLUBE,2015.0
IPHONE 6S,450.0,FORTALEZA ÁLVARO WEYNE,2015.0
IPHONE 6,450.0,FORTALEZA CAJAZEIRAS,2014.0
IPHONE 6S,450.0,CAUCAIA ARIANÓPOLIS (JUREMA),2015.0
IPHONE 7,450.0,FORTALEZA QUINTINO CUNHA,2016.0
IPHONE 6S,450.0,FORTALEZA GRANJA PORTUGAL,2015.0
IPHONE 7 PLUS,450.0,FORTALEZA GENIBAÚ,2016.0
IPHONE 6S,450.0,FORTALEZA JARDIM CEARENSE,2015.0
IPHONE 6S,450.0,FORTALEZA JACARECANGA,2015.0
IPHONE 7,450.0,FORTALEZA QUINTINO CUNHA,2016.0
IPHONE 6S,450.0,FORTALEZA PARQUE SANTA MARIA,2015.0
IPHONE 6 PLUS,450.0,ITAITINGA,2014.0
IPHONE 6S,450.0,MARACANAÚ ACARACUZINHO,2015.0
IPHONE 6S,470.0,FORTALEZA PARQUELÂNDIA,2015.0
IPHONE 7,470.0,FORTALEZA BOM JARDIM,2016.0
IPHONE 6S,480.0,FORTALEZA PARQUE SÃO JOSÉ,2015.0
IPHONE 6 PLUS,480.0,FORTALEZA SERRINHA,2014.0
IPHONE 7,499.0,FORTALEZA CURIÓ,2016.0
IPHONE 6 PLUS,500.0,FORTALEZA SERRINHA,2014.0
IPHONE 6S PLUS,500.0,FORTALEZA BOM JARDIM,2015.0
IPHONE 6S,500.0,PINDORETAMA,2015.0
IPHONE 6S,500.0,EUSÉBIO COITÉ,2015.0
IPHONE 7,500.0,MARANGUAPE NOVO MARANGUAPE II,2016.0
IPHONE 7,500.0,FORTALEZA JANGURUSSU,2016.0
IPHONE 7,500.0,CAUCAIA PLANALTO CAUCAIA,2016.0
