Modelo,Valor,Local
IPHONE 6S,200.0,AQUIRAZ
IPHONE 5S,250.0,FORTALEZA VILA UNIÃO
IPHONE 6S - SEMINOVO ACOMPANHA CAIXA,300.0,FORTALEZA BENFICA
IPHONE SE 1ª GERAÇÃO ,300.0,FORTALEZA FÁTIMA
IPHONE 6 128GB,300.0,FORTALEZA VICENTE PINZON
IPHONE 5S,350.0,FORTALEZA GRANJA LISBOA
IPHONE 6S 32GG,350.0,FORTALEZA PAUPINA
IPHONE 6 SEMI NOVO,350.0,FORTALEZA BARROSO
IPHONE SE 2016 VENDO OU TROCO EM ANDROID ,350.0,CAUCAIA PLANALTO CAUCAIA
IPHONE 6S 32GB ,350.0,FORTALEZA PAUPINA
IPHONE 6,350.0,FORTALEZA SIQUEIRA
IPHONE 7 128 GB,380.0,FORTALEZA PASSARÉ
IPHONE 6S PLUS 64 GIGAS BEM CONSERVADO.,400.0,FORTALEZA JARDIM DAS OLIVEIRAS
IPHONE 7,400.0,FORTALEZA BARROSO
VENDO IPHONE 6,400.0,FORTALEZA SAPIRANGA-COITÉ
IPHONE 6S PLUS,400.0,PACATUBA SENADOR CARLOS JEREISSATI
IPHONE 6S ( PREÇO NEGOCIÁVEL ),400.0,FORTALEZA FLORESTA
IPHONE 7 (LEIA A DESCRIÇÃO),400.0,FORTALEZA CRISTO REDENTOR
VENDO IPHONE 6S 128GB NÃO FAÇO ENTREGA ,430.0,FORTALEZA JÓQUEI CLUBE
IPHONE 6S - 32GB,450.0,FORTALEZA ÁLVARO WEYNE
IPHONE 6,450.0,FORTALEZA CAJAZEIRAS
IPHONE 6S 32GB ,450.0,CAUCAIA ARIANÓPOLIS (JUREMA)
IPHONE 7,450.0,FORTALEZA QUINTINO CUNHA
IPHONE 6S,450.0,FORTALEZA GRANJA PORTUGAL
IPHONE 7 PLUS ,450.0,FORTALEZA GENIBAÚ
IPHONE 6S SEM DEFEITOS ,450.0,FORTALEZA JARDIM CEARENSE
IPHONE 6S ,450.0,FORTALEZA JACARECANGA
IPHONE 7,450.0,FORTALEZA QUINTINO CUNHA
IPHONE 6S 32GB,450.0,FORTALEZA PARQUE SANTA MARIA
IPHONE 6 PLUS ,450.0,ITAITINGA
IPHONE 6S ,450.0,MARACANAÚ ACARACUZINHO
IPHONE 6S ROSE ,470.0,FORTALEZA PARQUELÂNDIA
IPHONE 7 ,470.0,FORTALEZA BOM JARDIM
IPHONE 6S,480.0,FORTALEZA PARQUE SÃO JOSÉ
IPHONE 6 PLUS 128GB ICLOUD LIVRE ,480.0,FORTALEZA SERRINHA
IPHONE 7 ROSE ,499.0,FORTALEZA CURIÓ
IPHONE 6PLUS 128GB ,500.0,FORTALEZA SERRINHA
VENDO OU TROCO  IPHONE 6SPLUS ,500.0,FORTALEZA BOM JARDIM
IPHONE 6S,500.0,PINDORETAMA
IPHONE 6S,500.0,EUSÉBIO COITÉ
IPHONE 7 ROSE,500.0,MARANGUAPE NOVO MARANGUAPE II
IPHONE 7 128G VENDO OU TROCO!,500.0,FORTALEZA JANGURUSSU
IPHONE 7 32 GB FUNCIONANDO TUDO ,500.0,CAUCAIA PLANALTO CAUCAIA
VENDO IPHONE 7,500.0,FORTALEZA NOVO MONDUBIM
IPHONE 6S ,500.0,ITAITINGA
IPHONE 7,500.0,FORTALEZA CONJUNTO CEARÁ II
IPHONE 7 PRETO ,500.0,FORTALEZA DIAS MACEDO
IPHONE 7  32GB,500.0,FORTALEZA PARQUELÂNDIA
IPHONE 7,500.0,PACATUBA PAVUNA
IPHONE 6S 32GB CINZA ,500.0,FORTALEZA VILA VELHA
IPHONE 7 PLUS,500.0,FORTALEZA GENIBAÚ
IPHONE 7 PLUS,500.0,FORTALEZA GENIBAÚ
IPHONE 7 ROSE,500.0,MARANGUAPE NOVO MARANGUAPE II
