Modelo,Valor,Local
6S,200.0,AQUIRAZ
5S,250.0,FORTALEZA VILA UNIÃO
6S,300.0,FORTALEZA BENFICA
SE,300.0,FORTALEZA FÁTIMA
6,300.0,FORTALEZA VICENTE PINZON
5S,350.0,FORTALEZA GRANJA LISBOA
6S,350.0,FORTALEZA PAUPINA
6,350.0,FORTALEZA BARROSO
SE,350.0,CAUCAIA PLANALTO CAUCAIA
6S,350.0,FORTALEZA PAUPINA
6,350.0,FORTALEZA SIQUEIRA
7,380.0,FORTALEZA PASSARÉ
6S PLUS,400.0,FORTALEZA JARDIM DAS OLIVEIRAS
7,400.0,FORTALEZA BARROSO
6,400.0,FORTALEZA SAPIRANGA-COITÉ
6S PLUS,400.0,PACATUBA SENADOR CARLOS JEREISSATI
6S,400.0,FORTALEZA FLORESTA
7,400.0,FORTALEZA CRISTO REDENTOR
6S,430.0,FORTALEZA JÓQUEI CLUBE
6S,450.0,FORTALEZA ÁLVARO WEYNE
6,450.0,FORTALEZA CAJAZEIRAS
6S,450.0,CAUCAIA ARIANÓPOLIS (JUREMA)
7,450.0,FORTALEZA QUINTINO CUNHA
6S,450.0,FORTALEZA GRANJA PORTUGAL
7 PLUS,450.0,FORTALEZA GENIBAÚ
6S,450.0,FORTALEZA JARDIM CEARENSE
6S,450.0,FORTALEZA JACARECANGA
7,450.0,FORTALEZA QUINTINO CUNHA
6S,450.0,FORTALEZA PARQUE SANTA MARIA
6 PLUS,450.0,ITAITINGA
6S,450.0,MARACANAÚ ACARACUZINHO
6S,470.0,FORTALEZA PARQUELÂNDIA
7,470.0,FORTALEZA BOM JARDIM
6S,480.0,FORTALEZA PARQUE SÃO JOSÉ
6 PLUS,480.0,FORTALEZA SERRINHA
7,499.0,FORTALEZA CURIÓ
6 PLUS,500.0,FORTALEZA SERRINHA
6S PLUS,500.0,FORTALEZA BOM JARDIM
6S,500.0,PINDORETAMA
6S,500.0,EUSÉBIO COITÉ
7,500.0,MARANGUAPE NOVO MARANGUAPE II
7,500.0,FORTALEZA JANGURUSSU
7,500.0,CAUCAIA PLANALTO CAUCAIA
7,500.0,FORTALEZA NOVO MONDUBIM
6S,500.0,ITAITINGA
7,500.0,FORTALEZA CONJUNTO CEARÁ II
7,500.0,FORTALEZA DIAS MACEDO
7,500.0,FORTALEZA PARQUELÂNDIA
7,500.0,PACATUBA PAVUNA
6S,500.0,FORTALEZA VILA VELHA
7 PLUS,500.0,FORTALEZA GENIBAÚ
7 PLUS,500.0,FORTALEZA GENIBAÚ
7,500.0,MARANGUAPE NOVO MARANGUAPE II
6S PLUS,500.0,FORTALEZA JARDIM DAS OLIVEIRAS
7,525.0,CAUCAIA MARECHAL RONDON (JUREMA)
6S,549.0,FORTALEZA JANGURUSSU
7,550.0,FORTALEZA HENRIQUE JORGE
6S,550.0,MARACANAÚ JAÇANAÚ
7,550.0,FORTALEZA BELA VISTA
7,550.0,FORTALEZA SAPIRANGA-COITÉ
7,550.0,FORTALEZA PICI
6S PLUS,550.0,FORTALEZA BARRA DO CEARÁ
7,550.0,FORTALEZA SAPIRANGA-COITÉ
6S,550.0,FORTALEZA MANOEL SÁTIRO
7,550.0,FORTALEZA MUCURIPE
6S,550.0,CAUCAIA CONJUNTO METROPOLITANO
7,550.0,FORTALEZA JANGURUSSU
6S,550.0,FORTALEZA FÁTIMA
5S,560.0,FORTALEZA PRESIDENTE KENNEDY
6S,565.0,FORTALEZA JOSÉ DE ALENCAR
SE,570.0,FORTALEZA SAPIRANGA-COITÉ
7,580.0,FORTALEZA CIDADE 2000
6S,590.0,FORTALEZA JOAQUIM TÁVORA
6S,590.0,FORTALEZA JOAQUIM TÁVORA
7 PLUS,599.0,FORTALEZA ALDEOTA
7,600.0,FORTALEZA CANINDEZINHO
6,600.0,FORTALEZA PEDRAS
7,600.0,FORTALEZA DENDÊ
6S,600.0,FORTALEZA JOSÉ BONIFÁCIO
7,600.0,FORTALEZA SALINAS
7 PLUS,600.0,FORTALEZA BARRA DO CEARÁ
7,600.0,FORTALEZA PAPICU
7,600.0,FORTALEZA GRANJA LISBOA
7,600.0,MARANGUAPE NOVO MARANGUAPE II
7,600.0,FORTALEZA GRANJA PORTUGAL
7,600.0,FORTALEZA SAPIRANGA-COITÉ
7,600.0,FORTALEZA ANTÔNIO BEZERRA
7 PLUS,600.0,MARANGUAPE NOVO MARANGUAPE II
